Wang_2004	Marchive_2013_20min	HN_induced_Widiez_2011	Alvarez_2020_NLP7RegulatedGenes	Alvarez_2019_CinetiqueKNO3_2h	Gaudinier_2018_CoreGenes_Review_TFs	Krouk_2010_KNO3
At3g63110	AT2G13810	At5g20180	AT1G53430	AT5G54170		At5g15770
At5g62900	AT3G04060	At4g31140	AT1G54030	AT3G44800		At5g20290
At1g72220	AT5G42830	At3g54500	AT1G58080	AT1G64590		At5g35820
At5g45340	AT3G27070	At1g11210	AT1G58400	AT3G46880		At5g36270
At3g57040	AT4G02520	At5g56180	AT1G59900	AT5G35630		At5g37610
At2g35000	AT3G12220	At2g20840	AT1G60010	AT1G49860		At5g38220
At1g08090	AT3G51660	At3g57230	AT1G60140	AT3G61880		At5g46330
At2g38170	AT1G68450	At1g74090	AT1G60710	AT2G41560		At5g48590
At4g35260	AT3G48920	At4g35190	AT1G61370	AT3G52960		At5g51550
At5g04950	AT2G43570	At1g51830	AT1G61460	AT1G07150		At5g52580
At1g22170	AT2G14560	At3g19710	AT1G63940	AT3G57157		At5g58950
At4g39670	AT1G23740	At1g70890	AT1G64060	AT1G22500		At5g59080
At3g07350	AT1G53625	At1g69550	AT1G64190	AT4G25835		At5g65640
At3g52940	AT5G40590	At3g09490	AT1G64390	AT2G30040		At5g66350
At1g49000	AT3G11340	At5g64100	AT1G64610	AT3G25790		At1g05570
At5g49760	AT3G25730	At2g46450	AT1G65500	AT4G18340		At1g05920
At1g25540	AT1G14200	At2g36650	AT1G65610	AT1G43710		At1g07150
At2g28890	AT3G54040	At3g14220	AT1G65690	AT5G12860		At1g08750
At5g59930	AT4G37060	At5g59510	AT1G65730	AT3G48990		At1g09575
At3g20110	AT3G13950	At4g36150	AT1G65930	AT5G14760		At1g10810
At5g35630	AT2G23170	At1g63640	AT1G66600	AT1G68670		At1g12520
At2g26820	AT3G61280	At5g13300	AT1G66880	AT4G34419		At1g15730
At1g13440	AT1G62570	At5g04970	AT1G67560	AT1G49450		At1g17810
At5g40850	AT5G26340	At2g19600	AT1G67800	AT1G73920		At1g18100
At2g41310	AT1G19250	At3g55740	AT1G67930	AT4G38340		At1g19850
At5g47560	AT5G62150	At5g13810	AT1G68360	AT1G32380		At1g20070
At5g58700	AT1G66700	At3g61990	AT1G69440	AT1G22170		At1g21920
At5g19970	AT2G30670	At2g40080	AT1G69530	AT1G16170		At1g22400
At2g43760	AT5G24530	At1g18970	AT1G69810	AT1G50400		At1g25550
At5g48070	AT3G04070	At5g42900	AT1G69850	AT3G47520		At1g27900
At3g15650	AT2G45570	At1g45130	AT1G70140	AT3G18560		At1g32920
At2g44750	AT5G06860	At4g17215	AT1G70170	AT3G16560		At1g35290
At5g42830	AT2G24180	At2g36660	AT1G70520	AT3G29034		At1g50350
At5g62150	AT3G49000	At3g50810	AT1G70530	AT2G01140		At1g51950
At3g27170	AT5G13330	At4g35060	AT1G70750	AT5G09800		At1g51990
At2g36090	AT3G63010	At1g23850	AT1G70790	AT1G68238		At1g53830
At5g54970	AT3G01970	At5g56460	AT1G72160	AT3G52360		At1g54120
At5g07890	AT2G34500	At5g22360	AT1G72300	AT5G52050		At1g55120
At3g16560	AT3G56400	At4g36530	AT1G72500	AT2G42070		At1g60670
At1g74090	AT1G03850	At3g01690	AT1G72680	AT2G21210		At1g61360
At2g28690	AT3G29970	At1g32870	AT1G72830	AT5G65210		At1g61410
At1g73600	AT2G25510	At3g57290	AT1G73920	AT4G17670		At1g62660
At1g70410	AT1G56060	At3g14270	AT1G74370	AT5G39590		At1g63690
At1g67110	AT2G29150	At3g26830	AT1G75080	AT5G51830		At1g64370
At3g25790	AT4G13310	At1g76760	AT1G75450	AT5G65030		At1g64590
At1g18590	AT5G22270	At3g29320	AT1G76160	AT1G80310		At1g64650
At4g24620	AT5G44930	At2g37770	AT1G76430	AT3G58610		At1g65860
At1g15290	AT1G65290	At1g65980	AT1G76520	AT3G13560		At1g68360
At4g30170	AT5G20230	At5g15330	AT1G76580	AT1G70780		At1g70985
At4g34860	AT3G24500	At1g65570	AT1G77330	AT1G70782		At1g70990
At3g49940	AT2G45550	At1g77760	AT1G77760	AT1G49000		At1g73000
At4g37300	AT5G03350	At2g30130	AT1G78050	AT4G23700		At1g78090
At1g64140	AT2G14620	At5g20250	AT1G78240	AT5G54130		At1g79060
At5g47450	AT5G22555	At4g18880	AT1G79160	AT1G66140		At2g01150
At1g67920	AT3G23250	At4g04955	AT1G79660	AT5G40730		At2g03520
At5g62430	AT4G34230	At2g01960	AT1G80300	AT1G74030		At2g06220
At1g73920	AT3G07600	At4g33670	AT1G80320	AT2G16660		At2g07740
At5g13420	AT2G47190	At1g66180	AT1G80325	AT5G58700		At2g21050
At5g66530	AT5G10770	At4g12490	AT1G80390	AT5G04590		At2g21960
At4g35090	AT2G38860	At4g01630	AT2G01150	AT2G46620		At2g24330
At3g19710	AT3G21520	At3g07650	AT2G01430	AT4G26970		At2g24790
At1g77750	AT4G28460	At2g06180	AT2G02220	AT4G39780		At2g25980
At5g14760	AT1G52900	At4g00355	AT2G04100	AT1G08100		At2g27830
At2g42070	AT2G39200	At1g77120	AT2G13650	AT2G47160		At2g28510
At4g01440	AT2G35980	At1g19380	AT2G15620	AT1G16300		At2g30860
At3g61830	AT4G18430	At2g19860	AT2G17150	AT1G49500		At2g33845
At3g13930	AT1G14870	At5g62480	AT2G18150	AT5G66530		At2g34330
At5g08250	AT3G50770	At3g03270	AT2G18630	AT4G35260		At2g37430
At4g02810	AT3G28510	At5g12470	AT2G18670	AT3G22550		At2g37440
At5g40470	AT4G08780	At1g11970	AT2G18960	AT4G30190		At2g37460
At2g26650	AT5G39050	At4g18360	AT2G19110	AT1G11655		At2g40890
At2g40750	AT5G25250	At2g02820	AT2G19190	AT5G03330		At2g42200
At5g51830	AT4G11655	At4g00090	AT2G19880	AT4G34860		At2g42660
At2g41660	AT3G15500	At1g30300	AT2G20950	AT3G22850		At2g43400
At1g31200	AT3G54640	At5g11680	AT2G21270	AT4G02920		At2g44440
At5g04250	AT1G73500	At4g17800	AT2G22430	AT3G22942		At2g45160
At1g61740	AT4G37530	At1g21130	AT2G22680	AT1G17060		At2g45430
At3g02885	AT3G45140	At1g15710	AT2G22800	AT1G20160		At2g45930
At4g29950	AT1G02930	At1g06830	AT2G23450	AT5G58320		At2g46190
At5g42990	AT2G41230	At3g11280	AT2G24130	AT5G04840		At2g46870
At5g52020	AT5G52810	At1g69860	AT2G25200	AT1G67810		At2g47320
At2g38640	AT3G22240	At5g45480	AT2G26190	AT2G16060		At2g47930
At4g01840	AT4G14630	At1g26460	AT2G26290	AT1G14340		At3g01120
At4g23980	AT3G47540	At5g04540	AT2G26480	AT2G42600		At3g02140
At5g09650	AT2G42360	At3g55700	AT2G26650	AT4G37800		At3g05950
At1g07790	AT2G43820	At5g25620	AT2G26980	AT4G33960		At3g06380
At5g10580	AT1G77885	At4g11570	AT2G27510	AT1G21000		At3g09260
At1g78090	AT2G21900	At1g62280	AT2G28305	AT3G44540		At3g10740
At5g03290	AT1G32340	At4g26220	AT2G28500	AT5G65010		At3g13620
At1g59970	AT1G67148	At1g73260	AT2G28510	AT3G21670		At3g16460
At1g67910	AT1G49610	At5g56090	AT2G29440	AT4G34750		At3g17810
At3g14050	AT2G23270	At1g52560	AT2G30400	AT5G13900		At3g20740
At4g20010	AT3G44720	At4g21680	AT2G30930	AT3G48360		At3g21340
At1g73630	AT1G22400	At1g65010	AT2G30970	AT1G78000		At3g23080
At1g49500	AT4G30230	At5g57710	AT2G31990	AT1G23149		At3g25790
At5g03570	AT3G48890	At4g39320	AT2G32670	AT1G23150		At3g25980
At5g56080	AT1G55780	At2g01490	AT2G33550	AT1G55120		At3g26782
At3g13560	AT1G60740	At1g30690	AT2G34180	AT1G62180		At3g44960
At4g21350	AT4G20000	At5g60150	AT2G34355	AT1G68880		At3g48990
At4g18510	AT3G60120	At4g22320	AT2G34650	AT2G43500		At3g49740
At1g53510	AT5G18470	At1g01170	AT2G35350	AT5G20540		At3g49940
At1g13300	AT3G23175	At2g47600	AT2G35770	AT1G13430		At3g53340
At2g25680	AT3E13410	At1g01440	AT2G35940	AT1G58080		At3g53620
At2g27550	AT5G02490	At5g17330	AT2G35945	AT1G32920		At3g57390
At5g54660	AT3G05950	At3g51870	AT2G36420	AT5G24410		At3g57450
At3g12230	AT3G28210	At3g28210	AT2G36580	AT1G59970		At3g57790
At5g50200	AT1G27120	At1g76310	AT2G38120	AT3G19030		At3g58830
At5g54130	AT5G05340	At3g50830	AT2G38170	AT5G14330		At3g60070
At3g14940	AT3G14680	At5g53250	AT2G38290	AT4G00630		At3g61430
At3g08590	AT5G35525	At3g44990	AT2G38310	AT1G23310		At3g62630
At4g02920	AT3G23190	At5g64120	AT2G39350	AT4G34950		At3g63110
At5g04740	AT5G54810	At1g17010	AT2G39380	AT5G04950		At4g00430
