Wang_2004	Marchive_2013_20min	HN_induced_Widiez_2011	Alvarez_2020_NLP7RegulatedGenes	Alvarez_2019_CinetiqueKNO3_2h	Gaudinier_2018_CoreGenes_Review_TFs	Krouk_2010_KNO3
At3g07910	AT2G21330	At1g08090	AT4G26542	AT5G50010		At2g38510
At5g53820	AT3G55800	At4g39980	AT4G26970	AT5G50011		At2g39370
At2g17050	AT5G04950	At5g38380	AT4G26980	AT5G50012		At2g45550
At2g19970	AT2G39730	At2g38170	AT4G27260	AT3G16240		At3g04530
At1g52700	AT3G14420	At3g54720	AT4G27460	AT2G25260		At3g08650
At2g22900	AT5G13400	At3g07350	AT4G27480	AT4G34000		At3g14050
At1g03850	AT1G08380	At2g47460	AT4G27520	AT4G38470		At3g15760
At5g58900	ATCG01100	At1g54970	AT4G30080	AT4G36410		At3g17510
At1g56580	AT3G63140	At1g61150	AT4G30190	AT1G08400		At3g19010
At3g61430	AT5G59080	At4g36880	AT4G30850	AT1G28260		At3g19190
At1g55920	AT2G33790	At1g48480	AT4G31380	AT5G08010		At3g46130
At5g59490	AT1G16410	At2g44010	AT4G31730	AT5G03290		At3g47050
At4g01700	AT1G29910	At5g24160	AT4G31820	AT5G37980		At3g49760
At3g14920	AT4G05310	At5g59080	AT4G31875	AT3G13730		At3g52950
At5g54800	AT1G44575	At1g14960	AT4G32300	AT3G25717		At3g53150
At4g36010	AT3G54890	At3g29780	AT4G32320	AT3G03040		At3g62410
At2g43100	AT1G09340	At4g03270	AT4G32920	AT1G28330		At3g62930
At3g02020	AT5G64040	At4g37410	AT4G34135	AT1G31200		At4g00416
At5g39590	AT5G09660	At5g64310	AT4G34240	AT3G21520		At4g02380
At4g18340	AT2G13360	At3g57950	AT4G34480	AT3G02850		At4g02920
At3g52950	AT1G29920	At2g43510	AT4G35600	AT5G64250		At4g03510
At3g46640	AT2G35290	At5g08620	AT4G36520	AT5G64750		At4g09620
At4g10040	AT4G35090	At4g28430	AT4G36670	AT4G36380		At4g09900
At4g36670	AT2G38170	At3g22680	AT4G36710	AT4G32950		At4g10310
At3g47520	AT1G62960	At5g18170	AT4G36940	AT4G01100		At4g13430
At2g14920	AT1G29724	At2g28710	AT4G36945	AT5G18130		At4g18340
At5g20885	AT3G23210	At2g22590	AT4G37000	AT5G67400		At4g20000
At1g60710	AT5G14740	At1g61360	AT4G37070	AT1G13448		At4g24670
At3g55980	AT4G24670	At2g43530	AT4G37640	AT5G51050		At4g24960
At4g13770	AT1E29130	At2g28950	AT4G37850	AT5G08570		At4g25835
At5g12860	AT1G29200	At4g39730	AT4G38420	AT2G17060		At4g25880
At4g19960	AT4G28250	At2g16365	AT4G38470	AT4G02120		At4g30190
At3g28690	AT5G18600	At2g22470	AT4G38480	AT4G15270		At4g31910
At1g49450	AT3G60750	At1g18590	AT4G39050	AT1G74940		At4g32680
At3g60750	AT2G41560	At1g08480	AT4G39400	AT2G35380		At4g32950
At2g46620	AT1G73600	At1g30880	AT4G39780	AT5G22300		At4g36010
At4g12030	AT5G38700	At4g20860	AT4G39800	AT1G56430		At4g36040
At4g37610	AT3G19030	At1g09430	AT4G39830	AT2G22500		At4g37180
At2g46390	AT1G21570	At4g33980	AT4G39838	AT1G67100		At4g38340
At1g31180	AT3G48360	At1g18250	AT4G39840	AT2G44280		At5g03380
At5g26010	AT5G65010	At3g25545	AT5G01100	AT5G67390		At5g06800
At3g17240	AT1G08090	At1g76090	AT5G01340	AT2G45150		At5g10030
At2g15620	AT3G16150	At5g52230	AT5G01540	AT5G04540		At5g12860
At3g62930	AT1G80440	At5g48800	AT5G01542	AT3G01290		At5g15330
At4g05390	AT2G17660	At4g25150	AT5G01730	AT5G47060		At5g15830
At1g62180	AT4G37540	At4g20390	AT5G01732	AT5G10200		At5g24160
At3g22890	AT4G32950	At3g46460	AT5G01830	AT4G37580		At5g28620
At1g21440	AT2G39250	At3g12490	AT5G02780	AT5G62520		At5g35630
At5g60760	AT1G24280	At1g79470	AT5G03700	AT5G20990		At5g39870
At5g50850	AT2G48080	At1g32500	AT5G05340	AT1G75380		At5g40470
At3g49760		At2g47520	AT5G05860	AT4G33150		At5g44140
At2g31360		At1g30400	AT5G06140	AT5G10100		At5g57655
At5g56630		At1g05680	AT5G06720	AT1G62660		At5g58530
At4g31910		At3g60540	AT5G06740	AT5G07900		At5g62720
At3g18560		At3g53780	AT5G07070	AT5G49780		At5g65210
At1g08650		At1g02870	AT5G07080	AT3G50910		At5g65300
At5g15830		At1g72240	AT5G07300	AT1G71880		At5g67390
At5g49480		At5g22340	AT5G07580	AT5G19140		At1g05750
At5g57660		At4g37970	AT5G10030	AT1G30840		At1g12110
At2g28550		At4g23980	AT5G10200	AT1G50110		At1g15380
At1g34510		At4g01840	AT5G11210	AT3G27884		At1g16420
At5g03230		At2g46930	AT5G12010	AT4G13280		At1g18485
At5g13180		At3g43600	AT5G12860	AT4G19160		At1g20160
At5g03320		At1g28130	AT5G13110	AT4G39350		At1g21910
At4g34000		At4g39530	AT5G13240	AT4G29740		At1g23760
At2g35380		At1g79460	AT5G13330	AT1G65840		At1g29180
At5g18840		At3g20520	AT5G13420	AT2G44350		At1g49160
At1g64190		At4g05470	AT5G13750	AT4G16920		At1g64140
At2g29730		At1g56220	AT5G14120	AT5G53500		At1g67340
At1g01490		At1g54090	AT5G14230	AT4G15920		At1g67910
At1g59960		At5g02240	AT5G14930	AT1G58360		At1g69440
At1g72200		At3g22570	AT5G17300	AT2G44670		At1g70410
At5g17880		At1g50440	AT5G17680	AT4G05070		At1g73260
At2g42350		At1g78670	AT5G18550	AT4G24780		At1g74940
At3g01120		At1g58100	AT5G18860	AT3G08580		At1g76340
At4g33960		At1g52720	AT5G20510	AT4G16950		At1g77400
At5g50800		At5g50200	AT5G20540	AT5G56980		At1g77760
At3g61820		At3g43280	AT5G20885	AT3G28690		At1g78100
At4g32950		At2g48020	AT5G21170	AT5G05400		At1g80380
At5g13900		At4g02920	AT5G21222	AT5G17880		At2g17820
At2g27510		At1g08920	AT5G24320	AT1G48870		At2g19110
At1g12820		At4g38060	AT5G24430	AT2G41660		At2g25450
At1g70780		At1g17050	AT5G24530	AT4G40090		At2g27570
At4g25790		At1g49570	AT5G25350	AT5G19221		At2g40750
At5g67390		At1g63940	AT5G28510	AT5G23660		At2g48080
At2g30040		At1g26920	AT5G35370	AT3G54900		At3g06590
At4g31730		At5g57540	AT5G35580	AT1G71980		At3g07310
At2g48080		At5g16150	AT5G38210	AT2G46495		At3g13730
At4g30530		At5g62330	AT5G38212	AT1G34060		At3g23030
At3g61190		At5g11090	AT5G38660	AT5G06570		At3g27420
At5g55200		At1g04870	AT5G39590	AT5G25110		At3g28200
At3g02910		At2g42700	AT5G40170	AT5G35620		At3g29760
At4g30190		At2g23690	AT5G40470	AT1G30270		At3g47980
At5g09800		At1g14550	AT5G40850	AT1G79180		At3g49780
At1g23040		At1g50110	AT5G42010	AT5G16570		At3g55980
At1g15380		At3g22200	AT5G42990	AT1G73220		At3g60750
At5g41670		At1g49860	AT5G43190	AT3G23170		At4g04040
At5g27100		At2g19200	AT5G43420	AT2G19810		At4g10390
At5g49080		At1g05205	AT5G43440	AT2G33850		At4g16680
At3g52960		At1g05850	AT5G45100	AT5G61420		At4g18350
At1g22500		At5g10820	AT5G45280	AT1G20640		At4g20460
At1g59730		At2g26300	AT5G45340	AT1G68070		At4g24020
At2g46650		At1g56660	AT5G46590	AT5G19220		At4g24620
At2g22500		At1g34280	AT5G47070	AT5G37540		At4g26390
At1g75140		At1g73700	AT5G47370	AT3G28050		At4g31730
At1g67940		At3g26720	AT5G47560	AT2G31810		At4g34710
		At1g22360	AT5G48175	AT3G03870		At4g37550
		At1g52100	AT5G48400	AT2G31955		At5g08010
		At5g13550	AT5G48410	AT1G55760		At5g13420
		At1g24735	AT5G49620	AT1G19715		At5g14760
		At2g30990	AT5G49665	AT4G13510		At5g18670
		At5g42720	AT5G49690	AT1G79530		At5g19010
		At3g13720	AT5G50130	AT5G19150		At5g19890
		At3g53360	AT5G50200	AT1G27170		At5g20885
		At1g18860	AT5G50260	AT5G52020		At5g22570
		At3g58990	AT5G50900	AT3G07270		At5g23010
		At3g13620	AT5G51550	AT2G45750		At5g23020
		At5g14750	AT5G51980	AT5G03995		At5g24655
		At1g42990	AT5G53110	AT1G09740		At5g24890
		At5g22570	AT5G53460	AT1G15290		At5g39590
		At2g39500	AT5G53470	AT5G40890		At5g47060
		At4g00910	AT5G53550	AT3G46640		At5g48070
		At2g46000	AT5G53830	AT1G54220		At5g48480
		At5g36160	AT5G54230	AT2G17845		At5g50200
		At3g14990	AT5G54470	AT4G37550		At5g56870
		At4g04210	AT5G54510	AT2G16380		At5g58700
		At3g51730	AT5G54670	AT5G05500		At5g59090
		At2g03470	AT5G55050	AT3G12670		At5g60770
		At1g78570	AT5G55090	AT2G25980		At5g64120
		At3g14210	AT5G57000	AT2G47700		At5g65020
		At3g10220	AT5G57070	AT4G01360		AtCg00420
		At4g04460	AT5G57340	AT5G47100		AtCg00660
		At3g15530	AT5G58320	AT3G52950		At1g08100
		At3g10910	AT5G58330	AT1G43650		At1g12740
		At5g10210	AT5G58350	AT1G09540		At1g13250
		At4g34720	AT5G58620	AT4G10310		At1g13420
		At1g25570	AT5G58670	AT3G15030		At1g14260
		At3g47160	AT5G59780	AT2G17710		At1g17060
		At3g14280	AT5G60200	AT2G32960		At1g21050
		At2g01610	AT5G60250	AT5G45340		At1g22160
		At5g24030	AT5G60280	AT3G09925		At1g22170
		At4g35320	AT5G61560	AT4G21903		At1g22640
		At5g28030	AT5G62070	AT2G35000		At1g29160
		At2g32270	AT5G62430	AT3G54780		At1g32170
		At1g23140	AT5G62630	AT5G04960		At1g50110
		At1g59740	AT5G62770	AT1G19440		At1g56230
		At5g53320	AT5G63160	AT5G67080		At1g68500
		At2g21320	AT5G63450	AT4G33550		At1g69040
		At5g36140	AT5G64090	AT4G39670		At1g70780
		At2g38465	AT5G64300	AT1G04410		At1g71980
		At5g24410	AT5G64410	AT5G45100		At1g72830
		At1g01060	AT5G64880	AT1G66430		At1g74660
		At2g40330	AT5G65140	AT4G25240		At1g75590
		At4g18240	AT5G65790	AT5G46890		At1g79110
		At5g26040	AT5G66600	AT4G28150		At2g17060
		At5g62200	AT5G66850	AT5G62710		At2g17150
		At3g60690	AT5G66920	AT4G09010		At2g26770
		At2g45660	AT5G67190	AT4G31020		At2g28250
		At2g43620	AT5G67420	AT5G42840		At2g28690
		At1g32520	At1g08290	AT5G49760		At2g28890
		At5g33290	At1g10480	AT1G19050		At2g31955
		At1g03820	At1g17310	AT4G26010		At2g38170
		At4g09640	At1g18860	AT4G39795		At2g42070
		At3g01290	At1g19000	AT1G15550		At2g47440
		At3g45640	At1g19850	AT4G29190		At3g04060
		At2g31940	At1g21450	AT4G37700		At3g07340
		At1g63520	At1g66600	AT1G31770		At3g11580
		At5g65420	At1g68360	AT4G13505		At3g14940
		At5g44770	At1g69810	AT5G66170		At3g25780
		At4g13420	At1g70790	AT5G36130		At3g26090
		At5g18200	At1g72830	AT4G00910		At3g27210
		At4g33050	At1g74370	AT5G09850		At3g28050
		At2g02400	At1g75080	AT3G14050		At3g28690
		At1g15950	At1g76580	AT4G21410		At3g30180
		At1g51800	At2g01430	AT3G06370		At3g47520
		At5g19820	At2g17150	AT1G68660		At3g50910
		At2g43535	At2g18670	AT4G15500		At3g52360
		At5g02480	At2g22430	AT2G35637		At3g52900
		At4g40040	At2g22800	AT5G11290		At3g58760
		At4g39520	At2g28510	AT5G50160		At3g60490
		At4g32920	At2g35940	AT3G25410		At3g61590
		At2g02100	At2g42360	AT4G38810		At4g16447
		At1g10480	At2g42430	AT3G27180		At4g16780
		At1g72450	At2g43500	AT5G26622		At4g17550
		At5g55960	At2g47260	AT1G69490		At4g18250
		At2g32300	At3g01970	AT3G21770		At4g18510
		At4g09990	At3g13810	AT1G72200		At4g18880
		At3g05500	At3g18930	AT2G17130		At4g21350
		At4g25100	At3g19020	AT3G24300		At4g23980
		At3g16450	At3g21270	AT3G12630		At4g26130
		At5g42790	At3g24520	AT1G01490		At4g27180
		At5g01520	At3g25730	AT2G46690		At4g27900
		At1g03590	At3g27010	AT2G35640		At4g34750
		At3g06020	At3g48100	AT1G14720		At4g35260
		At2g16400	At3g49690	AT5G53160		At4g36540
		At2g17120	At3g49940	AT5G27150		At5g01340
		At5g05440	At4g00940	AT5G19590		At5g04250
		At5g44560	At4g01720	AT1G62170		At5g04950
		At5g11560	At4g22070	AT3G20320		At5g06570
		At1g69890	At4g24240	AT5G48070		At5g20540
		At1g09010	At4g30080	AT2G16890		At5g22890
		At5g65630	At4g36710	AT5G47740		At5g25280
		At1g22140	At4g37850	AT5G38020		At5g25810
		At1g74670	At4g39780	AT4G36920		At5g35870
		At5g13840	At5g07580	AT1G12820		At5g47100
		At1g33600	At5g10030	AT2G24790		At5g51050
		At5g64260	At5g13330	AT1G69760		At5g51830
		At5g66440	At5g18550	AT3G53960		At5g52170
		At3g26590	At5g20510	AT2G28570		At5g53460
		At5g48450	At5g20885	AT5G42200		At5g54130
		At2g42430	At5g46590	AT1G22150		At5g58690
		At1g21140	At5g47370	AT1G72300		At5g58900
		At2g17820	At5g49620	AT3G43720		At5g59730
		At4g12030	At5g54230	AT5G44390		At5g61420
		At1g63730	At5g54470	AT1G32410		At5g62900
		At1g66760	At5g59780	AT2G38400		At5g64550
		At1g77920	At5g60200	AT1G13280		At5g65140
		At4g32350	At5g62430	AT1G22710		
		At5g55400	At5g65790	AT1G79529		
		At4g21980	At5g67190	AT2G30020		
		At3g02110	At5g67420	AT3G26890		
		At4g24140	At4g23270	AT4G26320		
		At5g54870	At1g70520	AT3G02800		
		At2g43570	At5g60280	AT5G38540		
		At1g26730	At1g61460	AT1G56580		
		At2g30250	At2g26290	AT4G09180		
		At1g66800	At4g35600	AT4G38060		
		At2g17265	At1g49160	AT1G23140		
		At5g63660	At5g40170	AT3G15650		
		At3g09660	At1g16110	AT1G44800		
		At2g36370	At5g47070	AT4G00670		
		At5g53420	At4g24400	AT4G24310		
		At5g27430	At3g53810	AT1G26150		
		At5g48150	At1g16130	AT3G61060		
		At4g15610	At5g35580	AT1G63880		
		At5g62530	At5g21170	AT3G21420		
		At4g03330	At3g01200	AT1G47128		
		At1g72200	At1g07150	AT3G56620		
		At5g50800	At2g02220	AT1G02880		
		At2g03760	At4g32300	AT1G02740		
		At4g20740	At5g06740	AT3G25890		
		At1g13670	At3g55950	AT5G03340		
		At2g24400	At3g09920	AT5G03760		
		At1g17960	At4g39400	AT1G56230		
		At5g63590	At3g54030	AT4G36220		
		At5g51550	At1g66880	AT1G02340		
		At4g18170	At1g70530	AT3G30775		
		At1g73740	At4g20140	AT2G36870		
		At4g37180	At1g72300	AT3G05220		
		At2g42830	At5g61560	AT3G23160		
		At4g31120	At5g35370	AT4G17800		
		At5g40690	At4g21410	AT1G29400		
		At5g66985	At4g26540	AT4G06534		
		At2g31340	At5g66850	AT4G26965		
		At3g43800	At5g55090	AT2G13650		
		At1g03660	At5g38210	AT4G03295		
		At1g69526	At2g34180	AT2G47560		
		At4g01480	At5g07070	AT5G22500		
		At1g59730	At4g00340	AT2G38970		
		At3g24770	At1g53430	AT1G77400		
		At3g21190	At5g01540	AT4G11390		
		At1g01820	At1g61370	AT5G01050		
		At4g35480	At3g17420	AT2G39220		
		At5g11420	At3g17510	AT3G52940		
		At3g10920	At3g05370	AT3G06130		
		At3g51030	At2g26980	AT1G26270		
		At1g70470	At3g53930	AT1G44160		
		At3g45210	At4g23180	AT1G17745		
		At3g52640	At5g24430	AT2G01010		
		At1g64390	At2g41890	AT4G01440		
		At5g63800	At1g18390	AT5G42830		
		At5g23110	At1g25390	AT1G14260		
		At1g69250	At1g52540	AT2G18450		
		At2g33150	At3g59750	AT3G24518		
		At5g58780	At1g28390	AT2G47540		
		At5g03520	At2g36580	AT5G58690		
		At4g36660	At2g24130	AT3G01420		
		At2g26690	At3g59700	AT5G56840		
		At3g16800	At2g23450	AT5G54660		
		At2g38290	At5g58350	AT2G33830		
		At5g22300	At4g38470	AT2G32270		
		At2g03780	At5g21222	AT5G66816		
		At3g62450	At4g21380	AT4G25870		
		At5g56280	At1g21980	AT1G67900		
		At5g60530	At2g34650	AT3G24520		
		At3g50660	At3g13380	AT2G27580		
		At5g03030	At2g19190	AT2G35710		
		At1g74580		AT1G58280		
		At4g16370		AT4G31730		
		At4g01450		AT4G27810		
		At5g67600		AT5G63650		
		At2g39310		AT4G02270		
		At5g66815		AT4G04770		
		At3g62270		AT2G41680		
		At3g09290		AT1G80440		
		At5g61510		AT4G13290		
		At4g30960		AT1G64040		
		At1g08560		AT1G74456		
		At2g05620		AT5G57625		
		At2g19590		AT5G62530		
		At4g35220		AT1G51680		
		At3g22240		AT4G12270		
		At5g56980		AT1G56020		
		At5g37260		AT5G43700		
		At2g18370		AT5G56090		
		At4g37550		AT1G47960		
		At2g20670		AT5G47950		
		At2g34840		AT1G10700		
		At3g01190		AT5G47240		
		At3g15980		AT1G77280		
		At1g30700		AT1G04610		
		At1g61570		AT1G78360		
		At4g30610		AT2G19600		
		At1g67800		AT5G55970		
		At4g39990		AT1G68825		
		At4g12500		AT5G65660		
		At5g61410		AT1G12040		
		At1g23390		AT5G62920		
		At1g78340		AT3G23820		
		At3g63270		AT5G26200		
		At3g53260		AT3G21250		
		At3g13845		AT2G28440		
		At3g26770		AT2G40330		
		At1g60870		AT1G73040		
		At1g72900		AT1G45249		
		At1g28050		AT4G02370		
		At4g14230		AT1G78290		
		At4g02290		AT1G24405		
		At4g16146		AT3G60440		
		At1g58200		AT5G60770		
		At3g05270		AT5G61010		
		At4g40020		AT5G47980		
		At4g34160		AT5G21950		
		At5g26220		AT1G64470		
		At4g00460		AT3G46650		
		At2g31090		AT4G22460		
		At5g23340		AT4G36020		
		At5g15230		AT4G36870		
		At1g52400		AT5G18470		
		At5g26280		AT2G29125		
		At3g53230		AT4G25820		
		At2g02120		AT2G43290		
		At1g20280		AT4G17870		
		At5g39510		AT4G33420		
		At3g55605		AT3G05200		
		At3g22930		AT4G34160		
		At3g51310		AT5G20680		
		At3g21230		AT1G57610		
		At1g01990		AT4G27900		
		At1g73920		AT5G63450		
		At5g08170		AT1G26730		
		At4g22270		AT5G19890		
		At1g76790		AT1G55580		
		At4g35090		AT5G14700		
		At4g17890		AT5G60210		
		At3g61830		AT3G22104		
		At1g20696		AT5G27000		
		At4g02810		AT4G10265		
		At1g79420		AT4G17260		
		At5g51830		AT5G53750		
		At2g03240		AT1G67710		
		At2g30500		AT3G62420		
		At4g12640		AT3G62422		
		At5g43580		AT3G18990		
		At2g38640		AT5G37740		
		At4g28660		AT5G03570		
		At3g20060		AT5G10770		
		At1g02730		AT3G23150		
		At3g55150		AT1G12940		
		At2g21620		AT1G76590		
		At3g56290		AT2G18050		
		At1g77860		AT2G36910		
		At4g26060		AT2G31360		
		At3g13330		AT2G38390		
		At2g31380		AT5G57610		
		At3g53980		AT5G23190		
		At4g20010		AT1G62570		
		At3g14770		AT5G13550		
		At1g72990		AT5G59540		
		At1g54200		AT1G05010		
		At5g03570		AT1G64460		
		AtCg00360		AT4G34850		
		At3g49960		AT3G22840		
		At5g55520		AT2G38500		
		At4g31860		AT5G15640		
		At4g11190		AT4G12550		
		At3g63120		AT5G56630		
		At1g22640		AT5G05960		
		At5g54130		AT5G54840		
		At2g39570		AT1G61480		
		At4g09350		AT5G08565		
		At3g28730		AT2G44160		
		At5g06830		AT3G48740		
		At1g12730		AT1G64740		
		At5g15950		AT3G22540		
		At4g05020		AT3G14920		
		At3g05675		AT5G49620		
		At5g25475		AT2G32150		
		At2g46750		AT4G17030		
		At5g65380		AT2G22430		
		At3g05880		AT3G10320		
		At3g01420		AT2G31940		
		At3g53540		AT5G48110		
		At1g14990		AT2G19110		
		At1g75280		AT1G58340		
		At4g16260		AT3G62040		
		At1g77000		AT1G64660		
		At2g18500		AT3G23210		
		At3g11930		AT3G21240		
		At2g18700		AT3G45160		
		At4g36750		AT5G38000		
		At5g10130		AT2G23030		
		At5g09440		AT5G53420		
		At1g18470		AT5G59820		
		At4g20320		AT3G22930		
		At1g60750		AT1G55740		
		At2g17340		AT2G27660		
		At5g35710		AT4G16890		
		At3g22790		AT4G14500		
		At3g17470		AT1G64220		
		At1g78260		AT2G29990		
		At3g06470		AT4G24140		
		At5g43780		AT1G30870		
		At3g11780		AT2G44820		
		At5g43520		AT1G59740		
		At4g17460		AT1G69850		
		At5g13750		AT2G01530		
		At3g04720		AT3G07340		
		At5g48500		AT4G10040		
		At1g29150		AT5G49100		
		At5g50960		AT3G55440		
		At3g10050		AT2G47860		
		At5g23020		AT4G15610		
		At4g04770		AT3G04420		
		At1g49940		AT1G26945		
		At2g21660		AT3G13840		
		At5g63560		AT2G36320		
		At5g62850		AT1G09100		
		At5g23810		AT1G76790		
		At4g02710		AT3G18535		
		At3g55320		AT4G37970		
		At3g02240		AT1G77750		
		At5g05160		AT3G23570		
		At4g09300		AT4G22758		
		At2g45200		AT4G31920		
		At5g19540		AT2G02020		
		At4g36040		AT5G36150		
		At1g10760		AT1G28190		
		At3g23805		AT5G64410		
		At1g44970		AT5G53760		
		At3g23090		AT2G18150		
		At2g24290		AT1G11185		
		At1g47250		AT3G57520		
		At5g59700		AT3G17110		
		At3g25130		AT4G15540		
		At3g20340		AT5G54970		
		At1g62422		AT5G06640		
		At2g22450		AT1G69780		
		At2g32280		AT1G02500		
		At5g40590		AT3G26240		
		At4g30020		AT2G46550		
		At1g16060		AT4G37240		
		At1g72160		AT4G20010		
		At4g37400		AT5G64340		
		At4g30670		AT5G64341		
		At2g39530		AT5G64342		
		At3g18170		AT5G64343		
		At5g42600		AT5G49270		
		At3g20130		AT1G12760		
		At5g64130		AT4G04955		
		At1g78050		AT1G48690		
		At5g48930		AT4G36430		
		At5g47650		AT3G27100		
		At3g19100		AT3G09000		
		At3g57550		AT2G17150		
		At1g68290		AT1G12240		
		At5g05080		AT5G42650		
		At4g36900		AT5G59490		
		At1g25530		AT3G63440		
		At3g16520		AT5G45480		
		At5g51190		AT5G57887		
		At5g06570		AT3G49960		
		At3g27400		AT3G61590		
		At2g25150		AT3G26510		
		At3g08860		AT2G44230		
		At1g31120		AT1G13390		
		At5g12940		AT3G01990		
		At5g61340		AT1G19530		
		At5g24313		AT1G49740		
		At4g31980		AT3G08590		
		At4g29960		AT3G22530		
		At5g62630		AT1G51140		
		At2g01520		AT1G19600		
		At2g36930		AT2G14247		
		At1g18270		AT4G36500		
		At1g75680		AT3G21260		
		At1g67370		AT3G14260		
		At4g26670		AT5G16190		
		At1g79260		AT3G11280		
		At1g22530		AT1G56190		
		At1g69040		AT1G15800		
		At5g50130		AT5G57880		
		At5g55830		AT5G48560		
		At4g05590		AT4G01600		
		At2g45740		AT1G72125		
		At4g10040		AT3G45680		
		At1g24510		AT5G09620		
		At3g02550		AT5G13820		
		At5g64110		AT3G17240		
		At5g20885		AT5G17230		
		At4g02010		AT4G32175		
		At3g20810		AT4G14270		
		At1g27970		AT5G03470		
		At1g49320		AT1G74660		
		At4g03320		AT1G22180		
		At1g48670		AT1G18140		
		At1g02400		AT5G03150		
		At1g23030		AT1G20823		
		At5g58910		AT5G05987		
		At3g60750		AT1G14400		
		At5g47500		AT2G23700		
		At2g01120		AT3G12730		
		At5g64200		AT1G13090		
		At5g49940		AT2G30360		
		At3g10410		AT4G11280		
		At3g19570		AT1G66450		
		At2g42570		AT5G12380		
		At5g01450		AT5G25220		
		At1g11540		AT2G46680		
		At5g22580		AT1G21980		
		At4g23590		AT4G18380		
		At2g45860		AT4G39210		
		At5g28610		AT1G24130		
		At3g02140		AT4G30140		
		At1g29790		AT1G24180		
		At4g38250		AT1G70790		
		At5g07780		AT5G36140		
		At3g22880		AT4G36360		
		At4g01390		AT1G70370		
		At1g34510		AT5G05965		
		At5g03320		AT4G21120		
		At1g48470		AT3G20110		
		At5g18840		AT5G49770		
		At1g21900		AT5G62020		
		At3g11270		AT3G25870		
		At1g18140		AT3G55290		
		At2g42350		AT2G43000		
		At1g25360		AT3G57630		
		At2g16660		AT5G43810		
		At5g06610		AT3G49390		
		At5g52390		AT4G16480		
		At5g49640		AT1G19350		
		At3g58550		AT3G56880		
		At3g03570		AT3G54590		
		At5g20150		AT3G54580		
		At5g40780		AT2G07680		
		At5g03310		AT5G13410		
		At3g61380		AT1G67800		
		At3g54520		AT5G07010		
		At4g12470		AT3G63445		
		At2g25000		AT1G12805		
		At5g61090		AT4G10120		
		At2g28190		AT2G26650		
		At3g09390		AT3G12920		
		At1g31710		AT5G18670		
		At5g11100		AT3G23000		
		At1g16310		AT3G06330		
		At3g18400		AT1G30370		
		At1g78720		AT5G28610		
		At1g21680		AT2G24540		
		At4g12330		AT4G40070		
		At1g17620		AT5G10750		
		At1g76590		AT5G44670		
		At2g46030		AT1G63720		
		At4g04920		AT2G15880		
		At3g01310		AT2G24545		
		At1g43710		AT3G48100		
		At5g42370		AT2G46535		
		At4g19985		AT3G47780		
		At4g37750		AT1G10120		
		At4g30270		AT3G54650		
		At1g28400		AT5G58860		
		At1g55810		AT2G31670		
		At2g32020		AT5G18661		
		At1g31230		AT5G65790		
		At2g26830		AT4G00490		
		At3g45710		AT3G51350		
		At2g28780		AT2G28250		
		At4g18395		AT4G16563		
		At5g50210		AT1G02390		
		At3g47460		AT4G18250		
		At2g31050		AT3G59480		
		At1g12090		AT1G62380		
		At5g45340		AT5G19800		
		At5g61480		AT1G30900		
		At5g63810		AT4G30370		
		At1g48260		AT2G33700		
		At1g05350		AT5G53250		
		At2g29890		AT1G19450		
		At2g47710		AT5G05160		
		At5g08380		AT3G46130		
		At1g49000		AT1G02220		
		At4g37580		AT3G10120		
		At1g62770		AT3G48185		
		At1g52410		AT2G01670		
		At1g14360		AT4G27460		
		At3g07230		AT3G56080		
		At3g13610		AT5G17380		
		At3g12270		AT4G18040		
		At1g72940		AT5G01260		
		At2g38860		AT5G49120		
		At5g40850		AT2G46650		
		At2g25300		AT4G18880		
		At5g20230		AT2G40120		
		At5g52060		AT2G23360		
		At5g04470		AT2G46270		
		At5g67210		AT3G09440		
		At1g06010		AT4G20780		
		At3g22370		AT5G25270		
		At2g39750		AT5G06630		
		At4g36730		AT4G35480		
		At4g19840		AT3G20830		
		At1g80760		AT1G22065		
		At1g65500		AT2G16900		
		At1g64370		AT2G28400		
		At4g12230		AT3G55610		
		At3g27170		AT1G22990		
		At1g05200		AT3G14870		
		At1g50490		AT1G10140		
		At1g24620		AT2G20940		
		At5g07890		AT5G46710		
		At3g27230		AT5G15350		
		At5g06870		AT2G46400		
		At2g41810		AT4G34870		
		At1g73600		AT5G43880		
		At1g47210		AT5G47230		
		At1g78990		AT1G24267		
		At1g15290		AT2G44660		
		At5g18470		AT5G27930		
		At2g22425		AT2G24980		
		At3g07740		AT3G14205		
		At2g02850		AT2G39710		
		At5g37690		AT3G27210		
		At5g14760		AT5G09300		
		At1g74550		AT2G45830		
		At4g00700		AT5G11070		
		At3g56240		AT1G72680		
		At3g10500		AT3G44290		
		At1g35910		AT5G41610		
		At4g20170		AT5G41810		
		At4g24380		AT5G05440		
		At2g41660		AT5G10330		
		At3g60630		AT2G03505		
		At2g39440		AT5G17760		
		At1g75410		AT4G13345		
		At5g47770		AT5G08250		
		At5g20160		AT5G11590		
		At1g76160		AT2G37220		
		At2g20515		AT2G36090		
		At4g19160		AT1G49560		
		At1g49500		AT4G34810		
		At2g41100		AT4G31590		
		At1g30750		AT3G07030		
		At3g23280		AT1G27970		
		At5g67510		AT3G23590		
		At1g59870		AT4G05200		
		At1g72300		AT3G22890		
		At1g62480		AT3G04320		
		At2g27450				
		At5g19140				
